Attempt No.,Total Qs,Correct,Incorrect,Unattempted,Total Marks,Obtained,% Score,Time
4,1,0,1,0,4,0,0.0,5 sec
3,1,1,0,0,4,4,100.0,4 min 1 sec
2,1,1,0,0,4,4,100.0,3 sec
1,1,1,0,0,4,4,100.0,0 sec
